individualCount,decimalLatitude,decimalLongitude,vernacularName
9,42.32853,-66.89518,DOLPHINS-STRIPED
20,42.53246,-64.56483,DOLPHINS (NS)
1,43.99135,-63.06692,WHALE-FIN
1,45.71528,-60.18995,OCEAN SUNFISH
1,43.13427,-64.67911,OCEAN SUNFISH
1,42.17026,-66.36079,WHALE-MINKE
1,42.26743,-66.88358,SHARK-BASKING
1,45.71429,-60.19025,SEATURTLE-LEATHERBACK
2,42.16201,-66.36537,WHALE-MINKE
20,43.873333,-58.97,DOLPHINS (NS)
2,44.665166,-66.4285,WHALE-HUMPBACK
1,42.9397,-64.83748,CETACEAN (NS)
3,42.97276,-65.62389,PORPOISE-HARBOUR
11,45.371,-64.405666,PORPOISE-HARBOUR
1,44.671666,-60.982666,WHALE-RIGHT
1,44.093333,-59.051666,WHALE-FIN
2,44.564833,-66.633333,WHALE-FIN
20,43.846666,-58.896666,WHALE- LONG-FINNED PILOT
1,44.284666,-66.469166,WHALE-HUMPBACK
1,42.32061,-66.07814,OCEAN SUNFISH
1,43.8825,-58.936166,WHALES (NS)
1,43.051833,-65.109833,WHALE-RIGHT
3,43.9,-61.183333,WHALE-MINKE
2,44.725666,-66.6805,WHALE-HUMPBACK
3,44.5545,-66.4955,WHALE-HUMPBACK
1,42.26695,-66.88345,WHALE-MINKE
1,42.21577,-67.09727,WHALE-SPERM
1,44.79,-66.743666,WHALE-FIN
2,45.371,-64.405666,PORPOISE-HARBOUR
20,44.005,-59.046666,DOLPHINS-WHITE-SIDED
2,44.781833,-66.72,WHALE-HUMPBACK
20,43.881666,-58.98,DOLPHINS-WHITE-SIDED
2,44.827166,-66.751166,WHALE-HUMPBACK
50,42.18472,-66.48038,DOLPHINS-STRIPED
5,44.896666,-59.123333,DOLPHINS-COMMON
20,43.866666,-58.946666,DOLPHINS-COMMON
2,44.018333,-59.115,WHALE-MINKE
1,44.433105,-66.173983,WHALE-HUMPBACK
15,43.756666,-58.888333,DOLPHINS-WHITE-SIDED
1,42.84788,-64.87971,OCEAN SUNFISH
1,43.725666,-58.731666,WHALES (NS)
2,44.224333,-66.461333,WHALE-HUMPBACK
2,44.313833,-66.410666,WHALE-HUMPBACK
2,43.8785,-58.958666,WHALE-NORTHERN BOTTLENOSE
14,43.945333,-58.9995,WHALE-NORTHERN BOTTLENOSE
18,41.993333,-65.57,WHALE- LONG-FINNED PILOT
1,44.335666,-66.379333,WHALE-HUMPBACK
1,44.325666,-66.415166,WHALE-HUMPBACK
1,44.610333,-66.503333,WHALE-RIGHT
,44.55,-63.515,WHALE-MINKE
2,43.863333,-58.931666,WHALE-NORTHERN BOTTLENOSE
1,42.89217,-64.82778,WHALE-FIN
2,43.848166,-58.945666,WHALE-NORTHERN BOTTLENOSE
2,43.866666,-58.956666,DOLPHINS (NS)
1,44.5055,-66.669,WHALE-MINKE
1,43.88,-58.951666,WHALE-NORTHERN BOTTLENOSE
2,43.85,-58.941666,DOLPHINS (NS)
1,44.589,-66.603666,WHALE-MINKE
20,43.925,-59.026666,DOLPHINS-STRIPED
3,44.287833,-66.478666,WHALE-HUMPBACK
2,44.521333,-66.6,WHALE-MINKE
1,44.644833,-66.456166,WHALE-RIGHT
2,44.316666,-66.411666,WHALE-HUMPBACK
1,44.358833,-66.371333,WHALE-HUMPBACK
1,44.6235,-66.643166,WHALE-HUMPBACK
1,43.858166,-58.8915,WHALE-NORTHERN BOTTLENOSE
2,45.371,-64.405666,PORPOISE-HARBOUR
3,44.3555,-66.345333,WHALE-HUMPBACK
10,43.493,-59.538666,DOLPHINS-COMMON
3,40.975,-66.361666,DOLPHINS-WHITE-SIDED
2,44.29,-66.365833,WHALE-HUMPBACK
1,44.306166,-66.370333,WHALE-HUMPBACK
1,43.986666,-58.993333,WHALE-NORTHERN BOTTLENOSE
1,45.371,-64.405666,SEAL-GREY
12,43.888333,-58.965,WHALE-NORTHERN BOTTLENOSE
8,44.478333,-56.898333,WHALE- LONG-FINNED PILOT
4,44.356333,-66.396333,WHALE-HUMPBACK
2,43.878166,-58.903166,DOLPHINS-WHITE-SIDED
2,44.209833,-66.464666,WHALE-HUMPBACK
1,44.2445,-66.470666,WHALE-HUMPBACK
1,43.947833,-58.980666,WHALES (NS)
1,43.985,-59.04,WHALE-NORTHERN BOTTLENOSE
2,44.3275,-66.404166,WHALE-HUMPBACK
1,43.98,-58.2,DOLPHINS (NS)
1,44.6105,-66.632666,WHALE-FIN
2,44.285833,-66.474,WHALE-HUMPBACK
2,44.330333,-66.371,WHALE-HUMPBACK
12,43.8855,-58.924166,WHALE-NORTHERN BOTTLENOSE
1,44.525,-66.530666,WHALE-RIGHT
1,44.289,-66.330333,WHALE-HUMPBACK
1,44.310333,-66.422,WHALE-HUMPBACK
1,44.333166,-66.409333,WHALE-HUMPBACK
6,43.784666,-58.816166,WHALE-NORTHERN BOTTLENOSE
2,44.305,-66.472833,WHALE-HUMPBACK
1,44.600333,-66.545,WHALE-RIGHT
1,44.323,-66.297833,WHALE-HUMPBACK
2,44.269333,-66.388166,WHALE-HUMPBACK
1,44.3115,-66.334166,WHALE-HUMPBACK
1,42.89166,-64.67612,OCEAN SUNFISH
1,44.096666,-59.065,WHALE-SPERM
10,35.991666,-74.21,DOLPHIN-SPOTTED
2,44.354333,-66.3875,WHALE-HUMPBACK
2,44.3645,-66.362333,WHALE-HUMPBACK
1,44.320333,-66.397833,WHALE-HUMPBACK
2,44.325166,-66.412,WHALE-HUMPBACK
1,44.262666,-66.401,WHALE-HUMPBACK
2,44.296166,-66.469666,WHALE-HUMPBACK
1,44.292666,-66.3525,WHALE-HUMPBACK
2,44.3005,-66.383333,WHALE-HUMPBACK
2,44.326,-66.4065,WHALE-HUMPBACK
1,44.036666,-59.031666,WHALE-SPERM
1,44.3235,-66.3075,WHALE-HUMPBACK
2,44.318833,-66.393,WHALE-HUMPBACK
2,43.828333,-58.916666,DOLPHINS-WHITE-SIDED
2,44.356833,-66.3595,WHALE-HUMPBACK
2,44.336833,-66.463833,WHALE-HUMPBACK
1,44.2915,-66.355,WHALE-HUMPBACK
2,44.347,-66.376833,WHALE-HUMPBACK
2,44.288833,-66.466666,WHALE-HUMPBACK
2,43.10224,-65.43155,DOLPHINS (NS)
1,43.958333,-58.983333,WHALE-NORTHERN BOTTLENOSE
1,43.91,-58.98,WHALE-NORTHERN BOTTLENOSE
2,44.333833,-66.42,WHALE-HUMPBACK
1,44.548666,-66.542833,WHALE-RIGHT
1,44.3055,-66.335333,WHALE-HUMPBACK
2,44.3425,-66.340166,WHALE-HUMPBACK
1,44.491833,-66.2355,WHALE-HUMPBACK
1,44.3355,-66.394833,WHALE-HUMPBACK
1,44.280166,-66.3435,WHALE-HUMPBACK
2,44.3405,-66.348833,WHALE-HUMPBACK
1,44.3215,-66.403333,WHALE-HUMPBACK
1,44.277333,-66.3735,WHALE-HUMPBACK
1,44.3725,-66.270833,WHALE-HUMPBACK
2,44.311166,-66.346666,WHALE-HUMPBACK
1,44.331,-66.347666,WHALE-HUMPBACK
1,43.971666,-58.781666,WHALE-NORTHERN BOTTLENOSE
2,44.294333,-66.4625,WHALE-HUMPBACK
2,44.319333,-66.368,WHALE-HUMPBACK
1,44.351833,-66.341666,WHALE-HUMPBACK
1,43.855,-58.905,WHALE-NORTHERN BOTTLENOSE
1,44.511666,-66.241666,WHALE-HUMPBACK
1,44.381,-66.269166,WHALE-HUMPBACK
1,44.305166,-66.374666,WHALE-HUMPBACK
3,44.3195,-66.339333,WHALE-HUMPBACK
2,43.985,-59.001666,WHALE-SPERM
20,43.01507,-64.04877,DOLPHINS-WHITE-SIDED
2,43.888333,-58.941666,DOLPHINS-WHITE-SIDED
1,44.475166,-66.253666,WHALE-HUMPBACK
1,43.843333,-58.938333,WHALE-BLUE
12,40.92,-66.416666,DOLPHINS-COMMON
4,43.928333,-58.518333,DOLPHINS (NS)
1,44.548666,-66.542833,WHALE-RIGHT
1,44.339166,-66.368666,WHALE-HUMPBACK
1,44.296666,-66.337,WHALE-HUMPBACK
2,44.356,-66.348,WHALE-HUMPBACK
2,44.390833,-66.275,WHALE-HUMPBACK
2,44.2995,-66.328666,WHALE-HUMPBACK
3,44.348166,-66.289,WHALE-HUMPBACK
13,43.925,-61.8,DOLPHINS-COMMON
2,44.286833,-66.332333,WHALE-HUMPBACK
2,44.314666,-66.3065,WHALE-HUMPBACK
6,43.923333,-58.315,WHALE- LONG-FINNED PILOT
1,43.883333,-58.913333,WHALE-HUMPBACK
2,44.096666,-58.398333,DOLPHINS (NS)
1,44.5495,-66.522333,WHALE-RIGHT
1,44.298,-66.356833,WHALE-HUMPBACK
1,44.402,-66.332833,WHALE-HUMPBACK
1,43.936666,-58.973333,WHALE-NORTHERN BOTTLENOSE
2,44.351833,-66.2955,WHALE-HUMPBACK
1,44.058333,-59.023333,WHALE-SPERM
15,43.93,-58.255,WHALE- LONG-FINNED PILOT
1,43.836666,-58.98,WHALE-NORTHERN BOTTLENOSE
1,43.828333,-58.896666,WHALE-NORTHERN BOTTLENOSE
2,44.3195,-66.300833,WHALE-HUMPBACK
2,43.901,-59.005,WHALE-NORTHERN BOTTLENOSE
,43.8785,-58.939,WHALES (NS)
2,43.865,-58.958333,DOLPHINS (NS)
1,43.841666,-58.928333,DOLPHINS-COMMON
1,43.968333,-58.985,WHALE-NORTHERN BOTTLENOSE
1,44.548666,-66.542833,WHALE-RIGHT
2,43.941666,-58.5,DOLPHINS-COMMON
1,44.325833,-66.298666,WHALE-HUMPBACK
15,43.948333,-58.27,WHALE- LONG-FINNED PILOT
1,44.475166,-66.4785,WHALE-RIGHT
1,43.86,-58.946666,WHALE-NORTHERN BOTTLENOSE
1,44.389833,-66.286166,WHALE-HUMPBACK
1,43.84,-58.903333,WHALE-NORTHERN BOTTLENOSE
8,39.863333,-70.468333,DOLPHINS-RISSOS
4,43.941666,-58.973333,DOLPHINS (NS)
3,43.921666,-59,WHALES (NS)
3,42.19903,-66.28822,DOLPHINS-STRIPED
5,42.80992,-65.59002,DOLPHINS (NS)
,43.819,-58.899,WHALE-NORTHERN BOTTLENOSE
1,43.958333,-58.965,DOLPHINS (NS)
1,44.476333,-66.476833,WHALE-RIGHT
12,43.696666,-58.926333,DOLPHINS (NS)
30,37.865,-72.758333,DOLPHINS (NS)
2,39.846666,-70.323333,DOLPHINS (NS)
1,44.033333,-58.995,WHALE-SPERM
2,44.565166,-66.5055,WHALE-RIGHT
2,44.238333,-59.468333,DOLPHINS-COMMON
1,43.94,-58.266666,WHALE-NORTHERN BOTTLENOSE
10,40.945,-66.388333,DOLPHINS-COMMON
1,43.85,-58.888333,WHALE-NORTHERN BOTTLENOSE
2,39.825,-70.685,DOLPHINS (NS)
2,43.955,-58.975,WHALE-NORTHERN BOTTLENOSE
2,40.861666,-66.581666,WHALE-SEI
1,44.111666,-58.946666,WHALE-HUMPBACK
1,43.961666,-58.966666,DOLPHINS (NS)
1,43.932666,-58.9805,WHALE-NORTHERN BOTTLENOSE
1,43.851666,-58.933333,WHALE- LONG-FINNED PILOT
1,43.853333,-58.931666,WHALE-NORTHERN BOTTLENOSE
1,44.232166,-66.5655,WHALE-MINKE
10,39.823333,-70.721666,DOLPHINS-COMMON
1,43.730166,-58.752833,WHALE-MINKE
2,43.665,-59.028333,DOLPHINS (NS)
1,44.245666,-66.562833,WHALE-MINKE
2,43.816666,-58.866666,WHALE-BEAKED (NS)
1,43.913333,-58.985,WHALE-NORTHERN BOTTLENOSE
,43.768,-58.851,WHALE-NORTHERN BOTTLENOSE
1,39.808333,-69.636666,WHALE-SPERM
1,44.613333,-66.466666,WHALE-RIGHT
1,44.624333,-66.469166,WHALE-RIGHT
1,43.8615,-58.901833,WHALE-NORTHERN BOTTLENOSE
1,44.103333,-59.095,WHALE-SPERM
1,44.608333,-66.456666,WHALE-RIGHT
1,43.8795,-58.946833,WHALE-NORTHERN BOTTLENOSE
30,43.9035,-58.96,DOLPHINS-COMMON
,43.739166,-58.783166,WHALE-NORTHERN BOTTLENOSE
1,44.558,-66.5,WHALE-RIGHT
2,44.813333,-54.488333,WHALE-BLUE
7,43.835,-58.926666,WHALE- LONG-FINNED PILOT
1,44.483166,-66.482833,WHALE-RIGHT
1,44.490166,-66.495166,WHALE-RIGHT
2,43.863333,-59.101666,WHALE-MINKE
1,44.249166,-66.537666,WHALE-MINKE
1,43.873333,-58.9475,WHALE-NORTHERN BOTTLENOSE
1,44.246,-66.5415,WHALE-MINKE
1,44.5695,-66.5015,WHALE-RIGHT
1,43.825,-58.951666,WHALE-SPERM
1,43.856666,-58.936666,WHALE-NORTHERN BOTTLENOSE
