individualCount,eventID,decimalLatitude,decimalLongitude,vernacularName
6,8536,44.694,-66.476833,WHALE-RIGHT
6,6706,44.666666,-66.366666,WHALE-RIGHT
6,2820,44.682666,-66.456166,WHALE-RIGHT
6,2866,44.604333,-66.4285,WHALE-RIGHT
6,2865,44.599166,-66.433666,WHALE-RIGHT
6,2614,44.714833,-66.448333,WHALE-RIGHT
6,2596,44.682333,-66.471,WHALE-RIGHT
6,1718,44.7535,-66.739333,WHALE-RIGHT
6,3130,44.576166,-66.482333,WHALE-RIGHT
6,654,44.611333,-66.4435,WHALE-RIGHT
6,653,44.614166,-66.444833,WHALE-RIGHT
6,591,44.622833,-66.434833,WHALE-RIGHT
6,594,44.632666,-66.4355,WHALE-RIGHT
6,586,44.624833,-66.432833,WHALE-RIGHT
6,606,44.656666,-66.408833,WHALE-RIGHT
6,593,44.6235,-67.265666,WHALE-RIGHT
6,597,44.635833,-66.431,WHALE-RIGHT
6,602,44.645833,-66.423666,WHALE-RIGHT
5,36869,44.617166,-66.471666,WHALE-RIGHT
5,122666,43.628333,-63.34667,WHALE-RIGHT
5,137194,43.63011,-63.33382,WHALE-RIGHT
5,114894,42.806,-65.534833,WHALE-RIGHT
5,136696,43.62965,-63.3453,WHALE-RIGHT
5,143966,41.1062,-70.5296,WHALE-RIGHT
5,1752,44.5505,-66.572333,WHALE-RIGHT
5,7680,42.915,-65.108333,WHALE-RIGHT
5,8539,44.671333,-66.4755,WHALE-RIGHT
5,23394,44.626666,-66.513,WHALE-RIGHT
5,23397,44.6515,-66.4455,WHALE-RIGHT
5,122655,42.21,-66.221667,WHALE-RIGHT
5,122657,42.193333,-66.206667,WHALE-RIGHT
5,122641,42.18,-66.13,WHALE-RIGHT
5,143973,41.9588,-70.31,WHALE-RIGHT
5,118095,44.926833,-66.719166,WHALE-RIGHT
5,62194,43.009166,-65.061,WHALE-RIGHT
5,63165,44.6,-66.583333,WHALE-RIGHT
5,63159,44.516666,-66.55,WHALE-RIGHT
5,70182,44.638833,-66.653333,WHALE-RIGHT
5,67900,44.697333,-66.552,WHALE-RIGHT
5,67919,44.643,-66.510333,WHALE-RIGHT
5,67902,44.710666,-66.535,WHALE-RIGHT
5,67912,44.685333,-66.5165,WHALE-RIGHT
5,67911,44.685666,-66.513333,WHALE-RIGHT
5,67893,44.712,-66.541,WHALE-RIGHT
5,69583,44.652833,-66.503833,WHALE-RIGHT
5,69637,44.599833,-66.487666,WHALE-RIGHT
5,69790,44.749166,-66.407166,WHALE-RIGHT
5,69748,44.6475,-66.457333,WHALE-RIGHT
5,69876,44.605333,-66.466666,WHALE-RIGHT
5,69875,44.603,-66.477166,WHALE-RIGHT
5,70116,44.5825,-66.5195,WHALE-RIGHT
5,70117,44.5805,-66.521666,WHALE-RIGHT
5,41938,44.619666,-66.400666,WHALE-RIGHT
5,39501,44.637333,-66.507666,WHALE-RIGHT
